Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
S11752700052,04/22/2013,3524,Sam's Club 6568 / Ames,305 AIRPORT RD,AMES,50010,"305 AIRPORT RD
AMES 50010
(42.001123, -93.61365)",85,Story,1012210,SINGLE MALT SCOTCH,240,"WILLIAM GRANT AND SONS, INC.",4356,Balvenie 12yr Doublewood Single Malt Scotch,12,750,$33.60,$50.39,12,$604.68,9.00,2.38
S06789300028,07/26/2012,3805,Washington Street Mini Mart,1601 WASHINGTON ST,DAVENPORT,52084,"1601 WASHINGTON ST
DAVENPORT 52084
(41.535834, -90.596255)",82,Scott,1052010,IMPORTED GRAPE BRANDIES,420,"Moet Hennessy USA, Inc.",48106,Hennessy Vs Cognac,12,750,$17.25,$25.88,12,$310.56,9.00,2.38
S04682300026,03/21/2012,3785,Southside Tobacco and Liquor,2424 SW 9TH ST,DES MOINES,50315,"2424 SW 9TH ST
DES MOINES 50315
(41.56373, -93.624729)",77,Polk,1081305,APPLE SCHNAPPS,65,Jim Beam Brands,82607,Dekuyper Sour Apple,12,1000,$7.35,$11.02,12,$132.24,12.00,3.17
S26776400040,07/15/2015,3855,Dyno's Wine and Spirits / Storm Lake,1201 1/2 LAKESHORE DR,STORM LAKE,50588,"1201 1/2 LAKESHORE DR
STORM LAKE 50588
(42.634808, -95.185569)",11,Buena Vista,1031080,VODKA 80 PROOF,260,Diageo Americas,37991,Smirnoff Vodka 80 Prf Mini,12,500,$7.47,$11.21,2,$22.42,1.00,0.26
S05246800030,04/26/2012,4251,Aj's Liquor / Ames,4518 MORTENSON RD STE 109,AMES,50014,"4518 MORTENSON RD STE 109
AMES 50014
",85,Story,1011200,STRAIGHT BOURBON WHISKIES,65,Jim Beam Brands,19476,Maker's Mark,12,750,$15.74,$23.61,3,$70.83,2.25,0.59
S21301500007,09/18/2014,2190,"Central City Liquor, Inc.",1460 2ND AVE,DES MOINES,50314,"1460 2ND AVE
DES MOINES 50314
(41.60566, -93.619787)",77,Polk,1012100,CANADIAN WHISKIES,115,"Constellation Wine Company, Inc.",11788,Black Velvet,6,1750,$10.45,$15.68,6,$94.08,10.50,2.77
S04404200009,03/06/2012,4645,Kwik Shop #589 / Eldridge,"1, GROVE RD",ELDRIDGE,52748,"1, GROVE RD
ELDRIDGE 52748
(41.694958, -90.548678)",82,Scott,1011300,TENNESSEE WHISKIES,85,Brown-Forman Corporation,26826,Jack Daniels Old #7 Black Lbl,12,750,$13.01,$19.51,6,$117.06,4.50,1.19
S26025800083,06/04/2015,5155,New Star  /  Ansborough Ave,"1459, ANSBOROUGH AVE",WATERLOO,50701,"1459, ANSBOROUGH AVE
WATERLOO 50701
(42.493091, -92.376863)",07,Black Hawk,1051010,AMERICAN GRAPE BRANDIES,205,E AND J GALLO WINERY,52594,E & J Vs Brandy,24,375,$3.22,$4.83,6,$28.98,2.25,0.59
S08968400011,11/15/2012,2637,Hy-Vee #5 / Davenport,2351 W LOCUST,DAVENPORT,52804,"2351 W LOCUST
DAVENPORT 52804
(41.538207, -90.611972)",82,Scott,1081900,MISC. AMERICAN CORDIALS & LIQUEURS,322,Prestige Wine and Spirits Group,75208,Kinky Liqueur Mini,6,500,$4.67,$7.00,6,$42.00,3.00,0.79
S16162700010,12/09/2013,3838,Schnucks / Bettendorf,858 MIDDLE RD,BETTENDORF,52722,"858 MIDDLE RD
BETTENDORF 52722
(41.539421, -90.520013)",48,Iowa,1011100,BLENDED WHISKIES,65,Jim Beam Brands,24456,Kessler Blend Whiskey,12,750,$5.51,$8.26,12,$99.12,9.00,2.38
S17201400132,02/04/2014,2651,Hy-Vee / Waverly,1311 4 STREET SW,WAVERLY,50677,"1311 4 STREET SW
WAVERLY 50677
(42.713533, -92.475372)",09,Bremer,1081600,WHISKEY LIQUEUR,260,Diageo Americas,67266,Yukon Jack Canadian Liqueur,12,750,$9.25,$13.88,2,$27.76,1.50,0.40
S28195100027,10/01/2015,4345,Lucky Mart,1031 WEST ST,GRINNELL,50112,"1031 WEST ST
GRINNELL 50112
(41.745903, -92.727379)",79,Poweshiek,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,"Bacardi U.S.A., Inc.",43123,Bacardi Superior Rum,48,200,$2.50,$3.75,3,$11.25,0.60,0.16
S11797000054,04/23/2013,4167,"Iowa Street Market, Inc.",1256 IOWA ST,DUBUQUE,52001,"1256 IOWA ST
DUBUQUE 52001
(42.504958, -90.668138)",31,Dubuque,1062300,FLAVORED RUM,35,"Bacardi U.S.A., Inc.",43163,Bacardi Arctic Grape Liqueur,12,750,$7.33,$11.49,1,$11.49,0.75,0.20
S16509300008,12/26/2013,4478,U S Gas,"3000, SW 9th ST",DES MOINES,50315,"3000, SW 9th ST
DES MOINES 50315
(41.557843, -93.625681)",77,Polk,1041100,AMERICAN DRY GINS,370,Pernod Ricard USA/Austin Nichols,32236,Seagrams Extra Dry Gin,12,750,$5.99,$8.99,12,$107.88,9.00,2.38
S10309300004,01/29/2013,2954,Dahl's / Ingersoll,3425 INGERSOLL,DES MOINES,50300,"3425 INGERSOLL
DES MOINES 50300
(41.58631, -93.662807)",77,Polk,1031080,VODKA 80 PROOF,260,Diageo Americas,37414,Popov Vodka 80 Prf,24,375,$2.82,$4.23,24,$101.52,9.00,2.38
S15719600005,11/13/2013,4169,Super Quick 2 / Hubbell,1824 HUBBELL AVE,DES MOINES,50317,"1824 HUBBELL AVE
DES MOINES 50317
",77,Polk,1031200,VODKA FLAVORED,205,E AND J GALLO WINERY,40594,New Amsterdam Peach,12,750,$6.90,$10.35,24,$248.40,18.00,4.76
S06762000049,07/25/2012,2644,Hy-Vee Fort Dodge Wine and Spirits,1511 2ND AVE NORTH,FORT DODGE,50501,"1511 2ND AVE NORTH
FORT DODGE 50501
(42.508344, -94.177165)",94,Webster,1011200,STRAIGHT BOURBON WHISKIES,461,Campari(skyy),22121,Wild Turkey 81,12,750,$10.83,$16.25,12,$195.00,9.00,2.38
S11957400144,04/30/2013,2573,Hy-Vee Food Store / Muscatine,2400 2ND AVE,MUSCATINE,52761,"2400 2ND AVE
MUSCATINE 52761
(41.45135, -91.035137)",70,Muscatine,1041100,AMERICAN DRY GINS,434,Luxco-St Louis,30526,Hawkeye Gin,12,750,$3.33,$5.00,12,$60.00,9.00,2.38
S04915200041,04/05/2012,2545,Hy-Vee Drugstore / Iowa City,310 N 1ST ST,IOWA CITY,52245,"310 N 1ST ST
IOWA CITY 52245
(41.665693, -91.502069)",52,Johnson,1031200,VODKA FLAVORED,380,Phillips Beverage Company,42009,UV Cake Vodka,6,1750,$10.98,$16.48,6,$98.88,10.50,2.77
S28840400021,11/04/2015,3818,Round Window Liquor,703 W PLEASANT ST,KNOXVILLE,50138,"703 W PLEASANT ST
KNOXVILLE 50138
(41.320746, -93.105641)",63,Marion,1012200,SCOTCH WHISKIES,55,Sazerac North America,8828,Lauder's,6,1750,$10.68,$16.27,1,$16.27,1.75,0.46
S16559000039,12/28/2013,3942,Twin Town Liquor,104 HIGHWAY 30 WEST,TOLEDO,52342,"104 HIGHWAY 30 WEST
TOLEDO 52342
(41.985887, -92.579244)",86,Tama,1022100,TEQUILA,65,Jim Beam Brands,89836,Hornitos Gold,12,750,$13.12,$19.68,4,$78.72,3.00,0.79
